Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
Could not open serial port
Please connect USB to the correct port
Will try again in 1 seconds
1 0 30 0 4643.25
2 0 30 0 4647.29
3 100 30 0 4647.39
1 0 30 0 4647.5
2 0 30 0 4651.27
3 81.29 30 -349.24 4651.37
1 0 30 38.52 4659.55
2 0 30 69.87 4659.67
3 42.28 30 -255.71 4663.39
1 0 30 -119.93 4667.69
2 0 30 -0.1 4671.67
3 21.32 30 -60.64 4671.74
1 0 30 -15.21 4679.9
2 0 30 -4.24 4680.01
3 19.84 30 39.14 4683.62
1 0 30 81.37 4687.92
2 0 30 77.32 4687.97
3 40.47 30 46.98 4691.91
1 38.41 30 -40.42 4700.23
2 0 30 15.6 4700.26
3 33.06 30 -51.13 4700.28
1 38.41 30 -39.25 4708.61
2 0 30 -74.86 4708.74
3 18.22 30 -14.08 4712.52
1 38.41 30 73.48 4720.69
2 0 30 50.28 4720.89
3 29.64 30 55.09 4720.99
1 38.41 30 0.33 4728.98
2 0 30 48.48 4729.05
3 34.53 30 -1.02 4729.09
1 38.41 30 -37.92 4736.93
2 0 30 -62.25 4741.35
3 17.82 30 -21.14 4741.42
1 38.41 30 68.02 4749.5
2 0 30 4.4 4749.56
3 22.29 30 57.36 4753.27
1 38.41 30 18.63 4757.66
2 0 30 67.88 4761.77
3 42.04 30 35.51 4761.87
1 30.9 30 -67.23 4770.1
2 0 30 52.17 4770.17
3 32.36 30 -58.37 4770.28
1 30.9 30 -1.35 4778.05
2 0 30 -60.18 4782.04
3 16.35 30 -9.97 4782.09
1 26.11 30 82.75 4790.5
2 0 30 48.22 4790.56
3 29.18 30 65.12 4790.6
1 53.15 30 82.75 4798.68
2 0 30 68.47 4798.77
3 42.28 30 1.3 4802.57
1 53.15 30 -112.6 4806.76
2 0 30 -79.36 4810.92
3 22.93 30 -59.51 4810.98
1 19.94 30 27.95 4819.14
2 0 30 -28.24 4819.25
3 21.69 30 32.25 4822.95
1 39.59 30 48.86 4827.07
2 0 30 72.57 4831.42
3 35.86 30 38.8 4831.48
1 39.59 30 -44.41 4839.79
2 0 30 2.94 4839.86
3 30.64 30 -26.98 4839.9
1 20.18 30 1.06 4847.75
2 0 30 -31.15 4847.85
3 18.33 30 -0.9 4851.71
1 20.18 30 47.89 4860.24
2 0 30 58.16 4860.34
3 29.8 30 55.68 4860.41
1 20.18 30 47.89 4868.24
2 42.01 30 28.78 4868.32
3 33.24 30 0.1 4872.09
1 20.18 30 -51.02 4880.54
2 42.01 30 -54.52 4880.6
3 17.31 30 -13.68 4880.63
1 20.18 30 27.39 4888.78
2 42.01 30 -11.66 4888.9
3 23.82 30 60.96 4892.79
1 20.18 30 27.39 4896.89
2 41.82 30 78.78 4900.94
3 47.78 30 28.85 4900.99
1 34.54 30 -65.96 4910.24
2 41.82 30 -53.49 4910.32
3 30.14 30 -86.21 4913.03
1 34.54 30 -18.3 4917.19
2 41.82 30 -96.43 4921.55
3 18.43 30 0.18 4921.61
1 34.54 30 79.07 4929.65
2 41.82 30 48.05 4929.72
3 26.45 30 55.79 4929.76
1 34.54 30 -35.35 4937.9
2 41.82 30 8.11 4937.97
3 34.91 30 16.08 4941.97
1 34.54 30 -21.24 4950.31
2 41.82 30 -22.75 4950.43
3 21.94 30 -21.28 4950.5
1 34.54 30 75.66 4958.31
2 41.82 30 69.54 4962.26
3 29.01 30 38.59 4962.3
1 34.54 30 -15.97 4966.53
2 41.82 30 85.51 4970.66
3 34.72 30 3.41 4970.73
1 34.54 30 -89.24 4978.86
2 41.82 30 -107.13 4978.94
3 18.76 30 -20.2 4982.8
1 34.54 30 50.81 4986.92
2 41.82 30 5.38 4990.96
3 21.94 30 54.6 4991.02
1 34.54 30 12.6 4999.54
2 41.82 30 52.97 4999.64
3 40.24 30 39.15 5003.18
1 34.54 30 -44.16 5007.35
2 41.82 30 8.32 5011.51
3 31.47 30 -47.41 5011.55
1 34.54 30 37.86 5019.81
2 41.82 30 -17.81 5019.89
3 18.97 30 -3.58 5020.02
1 42.49 30 50.74 5027.92
2 41.82 30 56.94 5032.09
3 28.09 30 53.92 5032.15
1 42.49 30 -57.08 5040.38
2 41.82 30 37.52 5040.47
3 33.43 30 8.63 5040.52
1 42.49 30 -35.54 5048.48
2 41.82 30 -54.14 5048.54
3 21.32 30 -13.08 5052.29
1 42.49 30 74.63 5056.67
2 41.82 30 9.96 5060.82
3 24.23 30 42.43 5060.88
1 42.49 30 2.87 5069.08
2 41.82 30 63.34 5069.21
3 35.11 30 28.24 5072.82
1 42.49 30 -58.34 5077.2
2 41.82 30 -11.45 5081.31
3 26.3 30 -21.13 5081.42
1 42.49 30 57.6 5089.47
2 41.82 30 2.59 5089.53
3 25.57 30 17.91 5093.23
1 42.49 30 26.19 5097.46
2 41.82 30 34.23 5101.77
3 27.93 30 21.72 5101.83
1 42.49 30 -56.83 5110.06
2 41.82 30 6.92 5110.18
3 24.89 30 10.05 5110.25
1 42.49 30 22.38 5118.15
2 41.82 30 4.6 5118.27
3 24.61 30 25.41 5122.12
1 42.49 30 59.74 5130.56
2 37.91 30 4.6 5130.64
3 33.61 30 27.04 5130.7
1 42.49 30 -30.46 5138.54
2 37.91 30 -31.34 5138.6
3 24.89 30 -12.91 5142.42
1 42.49 30 3.26 5146.53
2 37.91 30 -53 5150.73
3 20.17 30 25.69 5150.76
1 42.49 30 87.76 5159.09
2 37.91 30 61.64 5159.15
3 34.72 30 49.68 5159.18
1 40.76 30 4.44 5167.23
2 37.91 30 26.24 5171.19
3 32.01 30 -17.96 5171.28
1 40.76 30 -47.14 5179.52
2 37.91 30 -68.6 5179.57
3 17.41 30 -4.39 5179.6
1 24.77 30 61.53 5187.67
2 37.91 30 -68.6 5191.64
3 29.01 30 63.56 5191.67
1 24.77 30 28.22 5199.98
2 37.91 30 38.89 5200.05
3 41.39 30 5.87 5200.14
1 24.77 30 -82.87 5208.37
2 37.91 30 0.39 5208.49
3 22.8 30 -51.25 5212.27
1 14.87 30 16.62 5216.43
2 37.91 30 0.39 5220.49
